Gene Symbol	Role in Cancer
ABI1	"TSG, fusion"
ABL1	"oncogene, fusion"
ABL2	"oncogene, fusion"
ACKR3	"oncogene, fusion"
ACSL3	fusion
ACVR1	oncogene
ACVR2A	TSG
AFF1	fusion
AFF3	"oncogene, fusion"
AFF4	"oncogene, fusion"
AKT1	oncogene
AKT2	oncogene
ALK	"oncogene, fusion"
AMER1	TSG
APC	TSG
APOBEC3B	"oncogene, TSG"
AR	oncogene
ARHGAP26	"TSG, fusion"
ARHGEF12	"TSG, fusion"
ARID1A	"TSG, fusion"
ARID1B	TSG
ARID2	TSG
ARNT	"oncogene, TSG, fusion"
ASPSCR1	fusion
ASXL1	TSG
ATF1	"oncogene, fusion"
ATIC	fusion
ATM	TSG
ATP1A1	"oncogene, TSG"
ATP2B3	TSG
ATR	TSG
ATRX	TSG
AXIN1	TSG
AXIN2	TSG
B2M	TSG
BAP1	TSG
BCL10	"TSG, fusion"
BCL11A	"oncogene, fusion"
BCL11B	"oncogene, TSG, fusion"
BCL2	"oncogene, fusion"
BCL3	"oncogene, fusion"
BCL6	"oncogene, fusion"
BCL7A	fusion
BCL9	"oncogene, fusion"
BCL9L	"oncogene, TSG"
BCOR	"TSG, fusion"
BCORL1	"oncogene, TSG"
BCR	fusion
BIRC3	"oncogene, TSG, fusion"
BLM	TSG
BMPR1A	"oncogene, TSG"
BRAF	"oncogene, fusion"
BRCA1	TSG
BRCA2	TSG
BRD3	"oncogene, fusion"
BRD4	"oncogene, fusion"
BRIP1	TSG
BTG1	"TSG, fusion"
BTK	"oncogene, TSG"
BUB1B	TSG
C2orf44	fusion
CACNA1D	oncogene
CALR	oncogene
CAMTA1	"TSG, fusion"
CANT1	fusion
CARD11	oncogene
CARS	"TSG, fusion"
CASC5	"TSG, fusion"
CASP8	TSG
CBFA2T3	"TSG, fusion"
CBFB	"TSG, fusion"
CBL	"oncogene, TSG, fusion"
CBLB	TSG
CBLC	"oncogene, TSG"
CCDC6	"TSG, fusion"
CCNB1IP1	"TSG, fusion"
CCND1	"oncogene, fusion"
CCND2	"oncogene, fusion"
CCND3	"oncogene, fusion"
CCNE1	oncogene
CD274	"TSG, fusion"
CD74	"oncogene, fusion"
CD79A	oncogene
CD79B	oncogene
CDC73	TSG
CDH1	TSG
CDH11	"TSG, fusion"
CDK12	TSG
CDK4	oncogene
CDK6	"oncogene, fusion"
CDKN1B	TSG
CDKN2A	TSG
CDKN2C	TSG
CDX2	"TSG, fusion"
CEBPA	TSG
CHCHD7	fusion
CHD4	oncogene
CHEK2	TSG
CIC	"oncogene, TSG, fusion"
CIITA	"TSG, fusion"
CLIP1	fusion
CLTC	"TSG, fusion"
CLTCL1	"TSG, fusion"
CNBP	"TSG, fusion"
CNOT3	TSG
CNTRL	fusion
COL1A1	fusion
COL2A1	fusion
CREB1	"oncogene, fusion"
CREB3L1	"TSG, fusion"
CREB3L2	"oncogene, fusion"
CREBBP	"oncogene, TSG, fusion"
CRLF2	"oncogene, fusion"
CRTC1	"oncogene, fusion"
CRTC3	fusion
CSF3R	oncogene
CTCF	TSG
CTNNB1	"oncogene, fusion"
CUX1	"oncogene, TSG"
CXCR4	oncogene
CYLD	TSG
DAXX	"oncogene, TSG"
DCTN1	fusion
DDB2	"oncogene, TSG"
DDIT3	"oncogene, fusion"
DDR2	oncogene
DDX10	"TSG, fusion"
DDX3X	TSG
DDX5	"oncogene, fusion"
DDX6	"oncogene, fusion"
DEK	"oncogene, fusion"
DICER1	TSG
DNAJB1	fusion
DNM2	TSG
DNMT3A	TSG
DROSHA	TSG
EBF1	"TSG, fusion"
EGFR	oncogene
EIF3E	"TSG, fusion"
EIF4A2	fusion
ELF4	"oncogene, TSG, fusion"
ELK4	"oncogene, fusion"
ELL	"TSG, fusion"
EML4	fusion
EP300	"TSG, fusion"
EPAS1	"oncogene, TSG"
EPS15	"TSG, fusion"
ERBB2	"oncogene, fusion"
ERBB3	oncogene
ERBB4	"oncogene, TSG"
ERC1	fusion
ERCC2	TSG
ERCC3	TSG
ERCC4	TSG
ERCC5	TSG
ERG	"oncogene, fusion"
ESR1	"oncogene, TSG, fusion"
ETNK1	TSG
ETV1	"oncogene, fusion"
ETV4	"oncogene, fusion"
ETV5	"oncogene, fusion"
ETV6	"TSG, fusion"
EWSR1	"oncogene, fusion"
EXT1	"TSG, fusion"
EXT2	TSG
EZH2	"oncogene, TSG"
EZR	fusion
FAM46C	TSG
FANCA	TSG
FANCC	TSG
FANCD2	TSG
FANCE	TSG
FANCF	TSG
FANCG	TSG
FAS	TSG
FAT1	TSG
FAT4	TSG
FBXO11	TSG
FBXW7	TSG
FCGR2B	"oncogene, fusion"
FCRL4	"oncogene, fusion"
FES	"oncogene, TSG"
FEV	"oncogene, fusion"
FGFR1	"oncogene, fusion"
FGFR1OP	fusion
FGFR2	"oncogene, fusion"
FGFR3	"oncogene, fusion"
FGFR4	oncogene
FH	TSG
FHIT	"TSG, fusion"
FIP1L1	fusion
FLCN	TSG
FLI1	"oncogene, fusion"
FLT3	oncogene
FLT4	oncogene
FOXA1	oncogene
FOXL2	"oncogene, TSG"
FOXO1	"oncogene, TSG, fusion"
FOXO3	"oncogene, TSG, fusion"
FOXO4	"oncogene, TSG, fusion"
FOXP1	"oncogene, fusion"
FSTL3	"oncogene, fusion"
FUBP1	oncogene
FUS	"TSG, fusion"
GAS7	fusion
GATA1	"oncogene, TSG"
GATA2	oncogene
GATA3	"oncogene, TSG"
GNA11	oncogene
GNAQ	oncogene
GNAS	oncogene
GOLGA5	fusion
GOPC	fusion
GPC3	"oncogene, TSG"
GPHN	fusion
GRIN2A	TSG
H3F3A	oncogene
H3F3B	oncogene
HERPUD1	fusion
HEY1	"oncogene, fusion"
HIF1A	oncogene
HIP1	"oncogene, fusion"
HIST1H3B	oncogene
HIST1H4I	fusion
HLA-A	fusion
HLF	"oncogene, fusion"
HMGA1	"oncogene, fusion"
HMGA2	"oncogene, fusion"
HNF1A	TSG
HNRNPA2B1	"oncogene, fusion"
HOOK3	fusion
HOXA11	"oncogene, TSG, fusion"
HOXA13	"oncogene, fusion"
HOXA9	"oncogene, TSG, fusion"
HOXC11	"oncogene, fusion"
HOXC13	"oncogene, fusion"
HOXD11	"oncogene, fusion"
HOXD13	"oncogene, fusion"
HRAS	oncogene
HSP90AA1	fusion
HSP90AB1	fusion
IDH1	oncogene
IDH2	oncogene
IGH	fusion
IGK	fusion
IGL	fusion
IKBKB	oncogene
IKZF1	"TSG, fusion"
IL2	fusion
IL21R	fusion
IL6ST	oncogene
IL7R	oncogene
IRF4	"oncogene, TSG, fusion"
ITK	fusion
JAK1	"oncogene, TSG"
JAK2	"oncogene, fusion"
JAK3	oncogene
JUN	oncogene
KAT6A	"oncogene, fusion"
KAT6B	"TSG, fusion"
KCNJ5	oncogene
KDM5A	"oncogene, fusion"
KDM5C	TSG
KDM6A	"oncogene, TSG"
KDR	oncogene
KDSR	fusion
KEAP1	TSG
KIF5B	fusion
KIT	oncogene
KLF4	"oncogene, TSG"
KLF6	TSG
KLK2	fusion
KMT2A	"oncogene, fusion"
KMT2C	TSG
KMT2D	"oncogene, TSG"
KRAS	oncogene
KTN1	fusion
LASP1	fusion
LCK	"oncogene, fusion"
LEF1	"oncogene, TSG"
LIFR	fusion
LMNA	fusion
LMO1	"oncogene, fusion"
LMO2	"oncogene, fusion"
LPP	"oncogene, fusion"
LRIG3	"TSG, fusion"
LRP1B	TSG
LYL1	"oncogene, fusion"
LZTR1	TSG
MAF	"oncogene, fusion"
MAFB	"oncogene, fusion"
MALT1	"oncogene, fusion"
MAML2	"oncogene, fusion"
MAP2K1	oncogene
MAP2K2	oncogene
MAP2K4	"oncogene, TSG"
MAP3K1	"oncogene, TSG"
MAP3K13	"oncogene, TSG"
MAPK1	oncogene
MAX	TSG
MDM2	oncogene
MDM4	oncogene
MECOM	"oncogene, fusion"
MED12	TSG
MEN1	TSG
MET	oncogene
MITF	oncogene
MKL1	"oncogene, TSG, fusion"
MLF1	"TSG, fusion"
MLH1	TSG
MLLT1	fusion
MLLT10	"oncogene, fusion"
MLLT11	fusion
MLLT3	fusion
MLLT4	"oncogene, fusion"
MLLT6	fusion
MN1	"oncogene, fusion"
MPL	oncogene
MSH2	TSG
MSH6	TSG
MSI2	"oncogene, fusion"
MSN	fusion
MTCP1	"oncogene, fusion"
MTOR	oncogene
